trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
66,False,"{'a': 0.5, 'e': 0.094983258426999034}",25,14,22.170142807947084,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
67,False,"{'a': 0.5, 'e': 0.091655149069765615}",25,18,17.650249831551633,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.088443653019731172}",30,0,44.48460645276603,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
69,False,"{'a': 0.5, 'e': 0.085344684274316948}",25,10,26.70057957621567,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
70,False,"{'a': 0.5, 'e': 0.082354299999999964}",20,10,18.141862421864094,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
71,False,"{'a': 0.5, 'e': 0.079468695515825971}",25,17,13.279977516520137,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.076684199452694751}",25,14,18.541626986252513,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.5, 'e': 0.073997269082258857}",20,16,5.973254679876153,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.07140448580949231}",35,24,20.052166194370606,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.068902550823195186}",25,13,-8.825275105387608,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.066488280898899327}",30,7,40.73382679013691,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.064158604348835926}",20,15,7.683828425860763,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
78,False,"{'a': 0.5, 'e': 0.061910557113811819}",20,13,14.09519141730419,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.059741278992021855}",30,14,25.756579749591758,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.057648009999999972}",30,16,26.904794455999248,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.055628086861078174}",30,0,48.26565322199722,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
82,False,"{'a': 0.5, 'e': 0.053678939616886343}",30,0,47.969902546039144,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.5, 'e': 0.051798088357581179}",25,20,8.50290421620592,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.049983140066644616}",20,5,28.049027939770532,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.048231785576236627}",20,11,15.067233276919572,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
86,False,"{'a': 0.5, 'e': 0.046541796629229526}",20,6,26.947327560717703,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
